,_id,sepal_length,sepal_width,petal_length,petal_width,species
26,61ea3bb942288f0cd04e9246,5.0,3.4,1.6,0.4,setosa
27,61ea3bb942288f0cd04e9247,5.2,3.5,1.5,0.2,setosa
28,61ea3bb942288f0cd04e9248,5.2,3.4,1.4,0.2,setosa
29,61ea3bb942288f0cd04e9249,4.7,3.2,1.6,0.2,setosa
30,61ea3bb942288f0cd04e924a,4.8,3.1,1.6,0.2,setosa
31,61ea3bb942288f0cd04e924b,5.4,3.4,1.5,0.4,setosa
32,61ea3bb942288f0cd04e924c,5.2,4.1,1.5,0.1,setosa
33,61ea3bb942288f0cd04e924d,5.5,4.2,1.4,0.2,setosa
34,61ea3bb942288f0cd04e924e,4.9,3.1,1.5,0.2,setosa
35,61ea3bb942288f0cd04e924f,5.0,3.2,1.2,0.2,setosa
36,61ea3bb942288f0cd04e9250,5.5,3.5,1.3,0.2,setosa
37,61ea3bb942288f0cd04e9251,4.9,3.6,1.4,0.1,setosa
38,61ea3bb942288f0cd04e9252,4.4,3.0,1.3,0.2,setosa
39,61ea3bb942288f0cd04e9253,5.1,3.4,1.5,0.2,setosa
40,61ea3bb942288f0cd04e9254,5.0,3.5,1.3,0.3,setosa
41,61ea3bb942288f0cd04e9255,4.5,2.3,1.3,0.3,setosa
42,61ea3bb942288f0cd04e9256,4.4,3.2,1.3,0.2,setosa
43,61ea3bb942288f0cd04e9257,5.0,3.5,1.6,0.6,setosa
44,61ea3bb942288f0cd04e9258,5.1,3.8,1.9,0.4,setosa
45,61ea3bb942288f0cd04e9259,4.8,3.0,1.4,0.3,setosa
46,61ea3bb942288f0cd04e925a,5.1,3.8,1.6,0.2,setosa
47,61ea3bb942288f0cd04e925b,4.6,3.2,1.4,0.2,setosa
48,61ea3bb942288f0cd04e925c,5.3,3.7,1.5,0.2,setosa
49,61ea3bb942288f0cd04e925d,5.0,3.3,1.4,0.2,setosa
50,61ea3bb942288f0cd04e925e,7.0,3.2,4.7,1.4,versicolor
51,61ea3bb942288f0cd04e925f,6.4,3.2,4.5,1.5,versicolor
52,61ea3bb942288f0cd04e9260,6.9,3.1,4.9,1.5,versicolor
53,61ea3bb942288f0cd04e9261,5.5,2.3,4.0,1.3,versicolor
54,61ea3bb942288f0cd04e9262,6.5,2.8,4.6,1.5,versicolor
55,61ea3bb942288f0cd04e9263,5.7,2.8,4.5,1.3,versicolor
56,61ea3bb942288f0cd04e9264,6.3,3.3,4.7,1.6,versicolor
57,61ea3bb942288f0cd04e9265,4.9,2.4,3.3,1.0,versicolor
58,61ea3bb942288f0cd04e9266,6.6,2.9,4.6,1.3,versicolor
59,61ea3bb942288f0cd04e9267,5.2,2.7,3.9,1.4,versicolor
60,61ea3bb942288f0cd04e9268,5.0,2.0,3.5,1.0,versicolor
61,61ea3bb942288f0cd04e9269,5.9,3.0,4.2,1.5,versicolor
62,61ea3bb942288f0cd04e926a,6.0,2.2,4.0,1.0,versicolor
63,61ea3bb942288f0cd04e926b,6.1,2.9,4.7,1.4,versicolor
64,61ea3bb942288f0cd04e926c,5.6,2.9,3.6,1.3,versicolor
65,61ea3bb942288f0cd04e926d,6.7,3.1,4.4,1.4,versicolor
66,61ea3bb942288f0cd04e926e,5.6,3.0,4.5,1.5,versicolor
67,61ea3bb942288f0cd04e926f,5.8,2.7,4.1,1.0,versicolor
68,61ea3bb942288f0cd04e9270,6.2,2.2,4.5,1.5,versicolor
69,61ea3bb942288f0cd04e9271,5.6,2.5,3.9,1.1,versicolor
70,61ea3bb942288f0cd04e9272,5.9,3.2,4.8,1.8,versicolor
71,61ea3bb942288f0cd04e9273,6.1,2.8,4.0,1.3,versicolor
72,61ea3bb942288f0cd04e9274,6.3,2.5,4.9,1.5,versicolor
73,61ea3bb942288f0cd04e9275,6.1,2.8,4.7,1.2,versicolor
74,61ea3bb942288f0cd04e9276,6.4,2.9,4.3,1.3,versicolor
75,61ea3bb942288f0cd04e9277,6.6,3.0,4.4,1.4,versicolor
76,61ea3bb942288f0cd04e9278,6.8,2.8,4.8,1.4,versicolor
77,61ea3bb942288f0cd04e9279,6.7,3.0,5.0,1.7,versicolor
78,61ea3bb942288f0cd04e927a,6.0,2.9,4.5,1.5,versicolor
79,61ea3bb942288f0cd04e927b,5.7,2.6,3.5,1.0,versicolor
80,61ea3bb942288f0cd04e927c,5.5,2.4,3.8,1.1,versicolor
81,61ea3bb942288f0cd04e927d,5.5,2.4,3.7,1.0,versicolor
82,61ea3bb942288f0cd04e927e,5.8,2.7,3.9,1.2,versicolor
83,61ea3bb942288f0cd04e927f,6.0,2.7,5.1,1.6,versicolor
84,61ea3bb942288f0cd04e9280,5.4,3.0,4.5,1.5,versicolor
85,61ea3bb942288f0cd04e9281,6.0,3.4,4.5,1.6,versicolor
86,61ea3bb942288f0cd04e9282,6.7,3.1,4.7,1.5,versicolor
87,61ea3bb942288f0cd04e9283,6.3,2.3,4.4,1.3,versicolor
88,61ea3bb942288f0cd04e9284,5.6,3.0,4.1,1.3,versicolor
89,61ea3bb942288f0cd04e9285,5.5,2.5,4.0,1.3,versicolor
90,61ea3bb942288f0cd04e9286,5.5,2.6,4.4,1.2,versicolor
91,61ea3bb942288f0cd04e9287,6.1,3.0,4.6,1.4,versicolor
92,61ea3bb942288f0cd04e9288,5.8,2.6,4.0,1.2,versicolor
93,61ea3bb942288f0cd04e9289,5.0,2.3,3.3,1.0,versicolor
94,61ea3bb942288f0cd04e928a,5.6,2.7,4.2,1.3,versicolor
95,61ea3bb942288f0cd04e928b,5.7,3.0,4.2,1.2,versicolor
96,61ea3bb942288f0cd04e928c,5.7,2.9,4.2,1.3,versicolor
97,61ea3bb942288f0cd04e928d,6.2,2.9,4.3,1.3,versicolor
98,61ea3bb942288f0cd04e928e,5.1,2.5,3.0,1.1,versicolor
99,61ea3bb942288f0cd04e928f,5.7,2.8,4.1,1.3,versicolor
100,61ea3bb942288f0cd04e9290,6.3,3.3,6.0,2.5,virginica
101,61ea3bb942288f0cd04e9291,5.8,2.7,5.1,1.9,virginica
102,61ea3bb942288f0cd04e9292,7.1,3.0,5.9,2.1,virginica
103,61ea3bb942288f0cd04e9293,6.3,2.9,5.6,1.8,virginica
104,61ea3bb942288f0cd04e9294,6.5,3.0,5.8,2.2,virginica
105,61ea3bb942288f0cd04e9295,7.6,3.0,6.6,2.1,virginica
106,61ea3bb942288f0cd04e9296,4.9,2.5,4.5,1.7,virginica
107,61ea3bb942288f0cd04e9297,7.3,2.9,6.3,1.8,virginica
108,61ea3bb942288f0cd04e9298,6.7,2.5,5.8,1.8,virginica
109,61ea3bb942288f0cd04e9299,7.2,3.6,6.1,2.5,virginica
110,61ea3bb942288f0cd04e929a,6.5,3.2,5.1,2.0,virginica
111,61ea3bb942288f0cd04e929b,6.4,2.7,5.3,1.9,virginica
112,61ea3bb942288f0cd04e929c,6.8,3.0,5.5,2.1,virginica
113,61ea3bb942288f0cd04e929d,5.7,2.5,5.0,2.0,virginica
114,61ea3bb942288f0cd04e929e,5.8,2.8,5.1,2.4,virginica
115,61ea3bb942288f0cd04e929f,6.4,3.2,5.3,2.3,virginica
116,61ea3bb942288f0cd04e92a0,6.5,3.0,5.5,1.8,virginica
117,61ea3bb942288f0cd04e92a1,7.7,3.8,6.7,2.2,virginica
118,61ea3bb942288f0cd04e92a2,7.7,2.6,6.9,2.3,virginica
119,61ea3bb942288f0cd04e92a3,6.0,2.2,5.0,1.5,virginica
120,61ea3bb942288f0cd04e92a4,6.9,3.2,5.7,2.3,virginica
121,61ea3bb942288f0cd04e92a5,5.6,2.8,4.9,2.0,virginica
122,61ea3bb942288f0cd04e92a6,7.7,2.8,6.7,2.0,virginica
123,61ea3bb942288f0cd04e92a7,6.3,2.7,4.9,1.8,virginica
124,61ea3bb942288f0cd04e92a8,6.7,3.3,5.7,2.1,virginica
125,61ea3bb942288f0cd04e92a9,7.2,3.2,6.0,1.8,virginica
126,61ea3bb942288f0cd04e92aa,6.2,2.8,4.8,1.8,virginica
127,61ea3bb942288f0cd04e92ab,6.1,3.0,4.9,1.8,virginica
128,61ea3bb942288f0cd04e92ac,6.4,2.8,5.6,2.1,virginica
129,61ea3bb942288f0cd04e92ad,7.2,3.0,5.8,1.6,virginica
130,61ea3bb942288f0cd04e92ae,7.4,2.8,6.1,1.9,virginica
131,61ea3bb942288f0cd04e92af,7.9,3.8,6.4,2.0,virginica
132,61ea3bb942288f0cd04e92b0,6.4,2.8,5.6,2.2,virginica
133,61ea3bb942288f0cd04e92b1,6.3,2.8,5.1,1.5,virginica
134,61ea3bb942288f0cd04e92b2,6.1,2.6,5.6,1.4,virginica
135,61ea3bb942288f0cd04e92b3,7.7,3.0,6.1,2.3,virginica
136,61ea3bb942288f0cd04e92b4,6.3,3.4,5.6,2.4,virginica
137,61ea3bb942288f0cd04e92b5,6.4,3.1,5.5,1.8,virginica
138,61ea3bb942288f0cd04e92b6,6.0,3.0,4.8,1.8,virginica
139,61ea3bb942288f0cd04e92b7,6.9,3.1,5.4,2.1,virginica
140,61ea3bb942288f0cd04e92b8,6.7,3.1,5.6,2.4,virginica
141,61ea3bb942288f0cd04e92b9,6.9,3.1,5.1,2.3,virginica
142,61ea3bb942288f0cd04e92ba,5.8,2.7,5.1,1.9,virginica
143,61ea3bb942288f0cd04e92bb,6.8,3.2,5.9,2.3,virginica
144,61ea3bb942288f0cd04e92bc,6.7,3.3,5.7,2.5,virginica
145,61ea3bb942288f0cd04e92bd,6.7,3.0,5.2,2.3,virginica
146,61ea3bb942288f0cd04e92be,6.3,2.5,5.0,1.9,virginica
147,61ea3bb942288f0cd04e92bf,6.5,3.0,5.2,2.0,virginica
148,61ea3bb942288f0cd04e92c0,6.2,3.4,5.4,2.3,virginica
149,61ea3bb942288f0cd04e92c1,5.9,3.0,5.1,1.8,virginica
