2022-01-22 10:34:54,250:__init__:INFO:Connection created successfully!
2022-01-22 10:34:54,257:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922c'), 'sepal_length': 5.1, 'sepal_width': 3.5, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,260:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9237'), 'sepal_length': 4.8, 'sepal_width': 3.4, 'petal_length': 1.6, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,260:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9238'), 'sepal_length': 4.8, 'sepal_width': 3.0, 'petal_length': 1.4, 'petal_width': 0.1, 'species': 'setosa'}
2022-01-22 10:34:54,260:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9239'), 'sepal_length': 4.3, 'sepal_width': 3.0, 'petal_length': 1.1, 'petal_width': 0.1, 'species': 'setosa'}
2022-01-22 10:34:54,260:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923a'), 'sepal_length': 5.8, 'sepal_width': 4.0, 'petal_length': 1.2, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,260:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923b'), 'sepal_length': 5.7, 'sepal_width': 4.4, 'petal_length': 1.5, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,261:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923c'), 'sepal_length': 5.4, 'sepal_width': 3.9, 'petal_length': 1.3, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,261:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923d'), 'sepal_length': 5.1, 'sepal_width': 3.5, 'petal_length': 1.4, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,261:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923e'), 'sepal_length': 5.7, 'sepal_width': 3.8, 'petal_length': 1.7, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,261:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923f'), 'sepal_length': 5.1, 'sepal_width': 3.8, 'petal_length': 1.5, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,261:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9240'), 'sepal_length': 5.4, 'sepal_width': 3.4, 'petal_length': 1.7, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,261:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9241'), 'sepal_length': 5.1, 'sepal_width': 3.7, 'petal_length': 1.5, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,262:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9242'), 'sepal_length': 4.6, 'sepal_width': 3.6, 'petal_length': 1.0, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,262:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9243'), 'sepal_length': 5.1, 'sepal_width': 3.3, 'petal_length': 1.7, 'petal_width': 0.5, 'species': 'setosa'}
2022-01-22 10:34:54,262:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9244'), 'sepal_length': 4.8, 'sepal_width': 3.4, 'petal_length': 1.9, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,262:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9245'), 'sepal_length': 5.0, 'sepal_width': 3.0, 'petal_length': 1.6, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,263:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9246'), 'sepal_length': 5.0, 'sepal_width': 3.4, 'petal_length': 1.6, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,263:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9247'), 'sepal_length': 5.2, 'sepal_width': 3.5, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,263:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9248'), 'sepal_length': 5.2, 'sepal_width': 3.4, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,263:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9249'), 'sepal_length': 4.7, 'sepal_width': 3.2, 'petal_length': 1.6, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,263:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e924a'), 'sepal_length': 4.8, 'sepal_width': 3.1, 'petal_length': 1.6, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e924b'), 'sepal_length': 5.4, 'sepal_width': 3.4, 'petal_length': 1.5, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e924c'), 'sepal_length': 5.2, 'sepal_width': 4.1, 'petal_length': 1.5, 'petal_width': 0.1, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e924d'), 'sepal_length': 5.5, 'sepal_width': 4.2, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e924e'), 'sepal_length': 4.9, 'sepal_width': 3.1, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e924f'), 'sepal_length': 5.0, 'sepal_width': 3.2, 'petal_length': 1.2, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9250'), 'sepal_length': 5.5, 'sepal_width': 3.5, 'petal_length': 1.3, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,264:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9251'), 'sepal_length': 4.9, 'sepal_width': 3.6, 'petal_length': 1.4, 'petal_width': 0.1, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9252'), 'sepal_length': 4.4, 'sepal_width': 3.0, 'petal_length': 1.3, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9253'), 'sepal_length': 5.1, 'sepal_width': 3.4, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9254'), 'sepal_length': 5.0, 'sepal_width': 3.5, 'petal_length': 1.3, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9255'), 'sepal_length': 4.5, 'sepal_width': 2.3, 'petal_length': 1.3, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9256'), 'sepal_length': 4.4, 'sepal_width': 3.2, 'petal_length': 1.3, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9257'), 'sepal_length': 5.0, 'sepal_width': 3.5, 'petal_length': 1.6, 'petal_width': 0.6, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9258'), 'sepal_length': 5.1, 'sepal_width': 3.8, 'petal_length': 1.9, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9259'), 'sepal_length': 4.8, 'sepal_width': 3.0, 'petal_length': 1.4, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e925a'), 'sepal_length': 5.1, 'sepal_width': 3.8, 'petal_length': 1.6, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e925b'), 'sepal_length': 4.6, 'sepal_width': 3.2, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,265:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e925c'), 'sepal_length': 5.3, 'sepal_width': 3.7, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e925d'), 'sepal_length': 5.0, 'sepal_width': 3.3, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e925e'), 'sepal_length': 7.0, 'sepal_width': 3.2, 'petal_length': 4.7, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e925f'), 'sepal_length': 6.4, 'sepal_width': 3.2, 'petal_length': 4.5, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9260'), 'sepal_length': 6.9, 'sepal_width': 3.1, 'petal_length': 4.9, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9261'), 'sepal_length': 5.5, 'sepal_width': 2.3, 'petal_length': 4.0, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9262'), 'sepal_length': 6.5, 'sepal_width': 2.8, 'petal_length': 4.6, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9263'), 'sepal_length': 5.7, 'sepal_width': 2.8, 'petal_length': 4.5, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9264'), 'sepal_length': 6.3, 'sepal_width': 3.3, 'petal_length': 4.7, 'petal_width': 1.6, 'species': 'versicolor'}
2022-01-22 10:34:54,266:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9265'), 'sepal_length': 4.9, 'sepal_width': 2.4, 'petal_length': 3.3, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9266'), 'sepal_length': 6.6, 'sepal_width': 2.9, 'petal_length': 4.6, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9267'), 'sepal_length': 5.2, 'sepal_width': 2.7, 'petal_length': 3.9, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9268'), 'sepal_length': 5.0, 'sepal_width': 2.0, 'petal_length': 3.5, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9269'), 'sepal_length': 5.9, 'sepal_width': 3.0, 'petal_length': 4.2, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e926a'), 'sepal_length': 6.0, 'sepal_width': 2.2, 'petal_length': 4.0, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e926b'), 'sepal_length': 6.1, 'sepal_width': 2.9, 'petal_length': 4.7, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,267:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e926c'), 'sepal_length': 5.6, 'sepal_width': 2.9, 'petal_length': 3.6, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e926d'), 'sepal_length': 6.7, 'sepal_width': 3.1, 'petal_length': 4.4, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e926e'), 'sepal_length': 5.6, 'sepal_width': 3.0, 'petal_length': 4.5, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e926f'), 'sepal_length': 5.8, 'sepal_width': 2.7, 'petal_length': 4.1, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9270'), 'sepal_length': 6.2, 'sepal_width': 2.2, 'petal_length': 4.5, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9271'), 'sepal_length': 5.6, 'sepal_width': 2.5, 'petal_length': 3.9, 'petal_width': 1.1, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9272'), 'sepal_length': 5.9, 'sepal_width': 3.2, 'petal_length': 4.8, 'petal_width': 1.8, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9273'), 'sepal_length': 6.1, 'sepal_width': 2.8, 'petal_length': 4.0, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,268:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9274'), 'sepal_length': 6.3, 'sepal_width': 2.5, 'petal_length': 4.9, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9275'), 'sepal_length': 6.1, 'sepal_width': 2.8, 'petal_length': 4.7, 'petal_width': 1.2, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9276'), 'sepal_length': 6.4, 'sepal_width': 2.9, 'petal_length': 4.3, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9277'), 'sepal_length': 6.6, 'sepal_width': 3.0, 'petal_length': 4.4, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9278'), 'sepal_length': 6.8, 'sepal_width': 2.8, 'petal_length': 4.8, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9279'), 'sepal_length': 6.7, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 1.7, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e927a'), 'sepal_length': 6.0, 'sepal_width': 2.9, 'petal_length': 4.5, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,269:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e927b'), 'sepal_length': 5.7, 'sepal_width': 2.6, 'petal_length': 3.5, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e927c'), 'sepal_length': 5.5, 'sepal_width': 2.4, 'petal_length': 3.8, 'petal_width': 1.1, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e927d'), 'sepal_length': 5.5, 'sepal_width': 2.4, 'petal_length': 3.7, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e927e'), 'sepal_length': 5.8, 'sepal_width': 2.7, 'petal_length': 3.9, 'petal_width': 1.2, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e927f'), 'sepal_length': 6.0, 'sepal_width': 2.7, 'petal_length': 5.1, 'petal_width': 1.6, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9280'), 'sepal_length': 5.4, 'sepal_width': 3.0, 'petal_length': 4.5, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9281'), 'sepal_length': 6.0, 'sepal_width': 3.4, 'petal_length': 4.5, 'petal_width': 1.6, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9282'), 'sepal_length': 6.7, 'sepal_width': 3.1, 'petal_length': 4.7, 'petal_width': 1.5, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9283'), 'sepal_length': 6.3, 'sepal_width': 2.3, 'petal_length': 4.4, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9284'), 'sepal_length': 5.6, 'sepal_width': 3.0, 'petal_length': 4.1, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9285'), 'sepal_length': 5.5, 'sepal_width': 2.5, 'petal_length': 4.0, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,270:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9286'), 'sepal_length': 5.5, 'sepal_width': 2.6, 'petal_length': 4.4, 'petal_width': 1.2, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9287'), 'sepal_length': 6.1, 'sepal_width': 3.0, 'petal_length': 4.6, 'petal_width': 1.4, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9288'), 'sepal_length': 5.8, 'sepal_width': 2.6, 'petal_length': 4.0, 'petal_width': 1.2, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9289'), 'sepal_length': 5.0, 'sepal_width': 2.3, 'petal_length': 3.3, 'petal_width': 1.0, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e928a'), 'sepal_length': 5.6, 'sepal_width': 2.7, 'petal_length': 4.2, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e928b'), 'sepal_length': 5.7, 'sepal_width': 3.0, 'petal_length': 4.2, 'petal_width': 1.2, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e928c'), 'sepal_length': 5.7, 'sepal_width': 2.9, 'petal_length': 4.2, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e928d'), 'sepal_length': 6.2, 'sepal_width': 2.9, 'petal_length': 4.3, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e928e'), 'sepal_length': 5.1, 'sepal_width': 2.5, 'petal_length': 3.0, 'petal_width': 1.1, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e928f'), 'sepal_length': 5.7, 'sepal_width': 2.8, 'petal_length': 4.1, 'petal_width': 1.3, 'species': 'versicolor'}
2022-01-22 10:34:54,271:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9290'), 'sepal_length': 6.3, 'sepal_width': 3.3, 'petal_length': 6.0, 'petal_width': 2.5, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9291'), 'sepal_length': 5.8, 'sepal_width': 2.7, 'petal_length': 5.1, 'petal_width': 1.9, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9292'), 'sepal_length': 7.1, 'sepal_width': 3.0, 'petal_length': 5.9, 'petal_width': 2.1, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9293'), 'sepal_length': 6.3, 'sepal_width': 2.9, 'petal_length': 5.6, 'petal_width': 1.8, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9294'), 'sepal_length': 6.5, 'sepal_width': 3.0, 'petal_length': 5.8, 'petal_width': 2.2, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9295'), 'sepal_length': 7.6, 'sepal_width': 3.0, 'petal_length': 6.6, 'petal_width': 2.1, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9296'), 'sepal_length': 4.9, 'sepal_width': 2.5, 'petal_length': 4.5, 'petal_width': 1.7, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9297'), 'sepal_length': 7.3, 'sepal_width': 2.9, 'petal_length': 6.3, 'petal_width': 1.8, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9298'), 'sepal_length': 6.7, 'sepal_width': 2.5, 'petal_length': 5.8, 'petal_width': 1.8, 'species': 'virginica'}
2022-01-22 10:34:54,273:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9299'), 'sepal_length': 7.2, 'sepal_width': 3.6, 'petal_length': 6.1, 'petal_width': 2.5, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e929a'), 'sepal_length': 6.5, 'sepal_width': 3.2, 'petal_length': 5.1, 'petal_width': 2.0, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e929b'), 'sepal_length': 6.4, 'sepal_width': 2.7, 'petal_length': 5.3, 'petal_width': 1.9, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e929c'), 'sepal_length': 6.8, 'sepal_width': 3.0, 'petal_length': 5.5, 'petal_width': 2.1, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e929d'), 'sepal_length': 5.7, 'sepal_width': 2.5, 'petal_length': 5.0, 'petal_width': 2.0, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e929e'), 'sepal_length': 5.8, 'sepal_width': 2.8, 'petal_length': 5.1, 'petal_width': 2.4, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e929f'), 'sepal_length': 6.4, 'sepal_width': 3.2, 'petal_length': 5.3, 'petal_width': 2.3, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e92a0'), 'sepal_length': 6.5, 'sepal_width': 3.0, 'petal_length': 5.5, 'petal_width': 1.8, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e92a1'), 'sepal_length': 7.7, 'sepal_width': 3.8, 'petal_length': 6.7, 'petal_width': 2.2, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e92a2'), 'sepal_length': 7.7, 'sepal_width': 2.6, 'petal_length': 6.9, 'petal_width': 2.3, 'species': 'virginica'}
2022-01-22 10:34:54,274:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e92a3'), 'sepal_length': 6.0, 'sepal_width': 2.2, 'petal_length': 5.0, 'petal_width': 1.5, 'species': 'virginica'}
